case,date,day,min_A,day_min_A,max_A_date
1,2/16/2023,1,1,0,2/21/2023
1,2/17/2023,2,1,1,2/21/2023
1,2/21/2023,6,1,5,2/21/2023
2,2/16/2023,1,1,0,2/27/2023
2,2/23/2023,8,1,7,2/27/2023
2,2/27/2023,12,1,11,2/27/2023
3,2/24/2023,9,9,0,3/9/2023
3,3/6/2023,19,9,10,3/9/2023
3,3/9/2023,22,9,13,3/9/2023
4,2/28/2023,13,13,0,3/22/2023
4,3/8/2023,21,13,8,3/22/2023
4,3/22/2023,35,13,22,3/22/2023
1,2/16/2023,1,1,0,2/21/2023
1,2/17/2023,2,1,1,2/21/2023
1,2/21/2023,6,1,5,2/21/2023
2,2/16/2023,1,1,0,2/27/2023
2,2/23/2023,8,1,7,2/27/2023
2,2/27/2023,12,1,11,2/27/2023
3,2/24/2023,9,9,0,3/9/2023
3,3/6/2023,19,9,10,3/9/2023
3,3/9/2023,22,9,13,3/9/2023
4,2/28/2023,13,13,0,3/22/2023
4,3/8/2023,21,13,8,3/22/2023
4,3/22/2023,35,13,22,3/22/2023
