case,date,day,min_B,day_min_B,max_B_date
1,2/22/2023,7,7,0,3/6/2023
1,2/23/2023,8,7,1,3/6/2023
1,2/27/2023,12,7,5,3/6/2023
1,2/28/2023,13,7,6,3/6/2023
1,3/1/2023,14,7,7,3/6/2023
1,3/2/2023,15,7,8,3/6/2023
1,3/6/2023,19,7,12,3/6/2023
2,2/28/2023,13,13,0,3/9/2023
2,3/1/2023,14,13,1,3/9/2023
2,3/2/2023,15,13,2,3/9/2023
2,3/6/2023,19,13,6,3/9/2023
2,3/7/2023,20,13,7,3/9/2023
2,3/8/2023,21,13,8,3/9/2023
2,3/9/2023,22,13,9,3/9/2023
3,3/21/2023,34,34,0,3/31/2023
3,3/22/2023,35,34,1,3/31/2023
3,3/23/2023,36,34,2,3/31/2023
3,3/24/2023,37,34,3,3/31/2023
3,3/27/2023,40,34,6,3/31/2023
3,3/28/2023,41,34,7,3/31/2023
3,3/31/2023,44,34,10,3/31/2023
4,3/28/2023,41,41,0,4/6/2023
4,3/29/2023,42,41,1,4/6/2023
4,3/30/2023,43,41,2,4/6/2023
4,3/31/2023,44,41,3,4/6/2023
4,4/4/2023,48,41,7,4/6/2023
4,4/5/2023,49,41,8,4/6/2023
4,4/6/2023,50,41,9,4/6/2023
1,2/22/2023,7,7,0,3/6/2023
1,2/23/2023,8,7,1,3/6/2023
1,2/27/2023,12,7,5,3/6/2023
1,2/28/2023,13,7,6,3/6/2023
1,3/1/2023,14,7,7,3/6/2023
1,3/2/2023,15,7,8,3/6/2023
1,3/6/2023,19,7,12,3/6/2023
2,2/28/2023,13,13,0,3/9/2023
2,3/1/2023,14,13,1,3/9/2023
2,3/2/2023,15,13,2,3/9/2023
2,3/6/2023,19,13,6,3/9/2023
2,3/7/2023,20,13,7,3/9/2023
2,3/8/2023,21,13,8,3/9/2023
2,3/9/2023,22,13,9,3/9/2023
3,3/21/2023,34,34,0,3/31/2023
3,3/22/2023,35,34,1,3/31/2023
3,3/23/2023,36,34,2,3/31/2023
3,3/24/2023,37,34,3,3/31/2023
3,3/27/2023,40,34,6,3/31/2023
3,3/28/2023,41,34,7,3/31/2023
3,3/31/2023,44,34,10,3/31/2023
4,3/28/2023,41,41,0,4/6/2023
4,3/29/2023,42,41,1,4/6/2023
4,3/30/2023,43,41,2,4/6/2023
4,3/31/2023,44,41,3,4/6/2023
4,4/4/2023,48,41,7,4/6/2023
4,4/5/2023,49,41,8,4/6/2023
4,4/6/2023,50,41,9,4/6/2023
