case,date,day,phase,question_type,item_combination,item_partition,item_comparison,sum,visualization,solving,A,B,M,min_A,min_B,min_M,level_AB,level_BM,time_A,time_B,time_M,trend_AB,trend_BM
1,2/16/2023,1,Baseline,visualization,1,1,0,2,1,0,1,0,0,1,0,0,0,0,0,-6,-32,0,0
1,2/17/2023,2,Baseline,visualization,1,2,0,3,1,0,1,0,0,1,0,0,0,0,1,-5,-31,0,0
1,2/21/2023,6,Baseline,visualization,1,1,1,3,1,0,1,0,0,1,0,0,0,0,5,-1,-27,0,0
1,2/22/2023,7,Intervention,visualization,1,1,1,3,1,0,0,1,0,0,7,0,1,0,6,0,-26,0,0
1,2/23/2023,8,Intervention,visualization,3,1,1,5,1,0,0,1,0,0,7,0,1,0,7,1,-25,1,0
1,2/27/2023,12,Intervention,visualization,4,4,4,12,1,0,0,1,0,0,7,0,1,0,11,5,-21,5,0
1,2/28/2023,13,Intervention,visualization,4,5,4,13,1,0,0,1,0,0,7,0,1,0,12,6,-20,6,0
1,3/1/2023,14,Intervention,visualization,3,3,4,10,1,0,0,1,0,0,7,0,1,0,13,7,-19,7,0
1,3/2/2023,15,Intervention,visualization,4,4,4,12,1,0,0,1,0,0,7,0,1,0,14,8,-18,8,0
1,3/6/2023,19,Intervention,visualization,5,4,4,13,1,0,0,1,0,0,7,0,1,0,18,12,-14,12,0
1,3/20/2023,33,Maintenance,visualization,5,4,5,14,1,0,0,0,1,0,0,33,1,1,32,26,0,26,0
1,4/4/2023,48,Maintenance,visualization,4,3,4,11,1,0,0,0,1,0,0,33,1,1,47,41,15,41,15
1,4/25/2023,69,Maintenance,visualization,4,4,4,12,1,0,0,0,1,0,0,33,1,1,68,62,36,62,36
1,5/16/2023,90,Maintenance,visualization,4,4,4,12,1,0,0,0,1,0,0,33,1,1,89,83,57,83,57
2,2/16/2023,1,Baseline,visualization,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-12,-35,0,0
2,2/23/2023,8,Baseline,visualization,1,0,0,1,1,0,1,0,0,1,0,0,0,0,7,-5,-28,0,0
2,2/27/2023,12,Baseline,visualization,1,0,0,1,1,0,1,0,0,1,0,0,0,0,11,-1,-24,0,0
2,2/28/2023,13,Intervention,visualization,0,0,0,0,1,0,0,1,0,0,13,0,1,0,12,0,-23,0,0
2,3/1/2023,14,Intervention,visualization,3,3,2,8,1,0,0,1,0,0,13,0,1,0,13,1,-22,1,0
2,3/2/2023,15,Intervention,visualization,3,3,3,9,1,0,0,1,0,0,13,0,1,0,14,2,-21,2,0
2,3/6/2023,19,Intervention,visualization,5,3,3,11,1,0,0,1,0,0,13,0,1,0,18,6,-17,6,0
2,3/7/2023,20,Intervention,visualization,5,5,5,15,1,0,0,1,0,0,13,0,1,0,19,7,-16,7,0
2,3/8/2023,21,Intervention,visualization,5,5,5,15,1,0,0,1,0,0,13,0,1,0,20,8,-15,8,0
2,3/9/2023,22,Intervention,visualization,5,3,5,13,1,0,0,1,0,0,13,0,1,0,21,9,-14,9,0
2,3/23/2023,36,Maintenance,visualization,5,3,5,13,1,0,0,0,1,0,0,36,1,1,35,23,0,23,0
2,4/25/2023,69,Maintenance,visualization,4,1,2,7,1,0,0,0,1,0,0,36,1,1,68,56,33,56,33
2,5/11/2023,85,Maintenance,visualization,3,3,5,11,1,0,0,0,1,0,0,36,1,1,84,72,49,72,49
3,2/24/2023,9,Baseline,visualization,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,-25,-60,0,0
3,3/6/2023,19,Baseline,visualization,1,1,1,3,1,0,1,0,0,9,0,0,0,0,10,-15,-50,0,0
3,3/9/2023,22,Baseline,visualization,1,1,1,3,1,0,1,0,0,9,0,0,0,0,13,-12,-47,0,0
3,3/21/2023,34,Intervention,visualization,5,3,5,13,1,0,0,1,0,0,34,0,1,0,25,0,-35,0,0
3,3/22/2023,35,Intervention,visualization,5,3,3,11,1,0,0,1,0,0,34,0,1,0,26,1,-34,1,0
3,3/23/2023,36,Intervention,visualization,3,3,5,11,1,0,0,1,0,0,34,0,1,0,27,2,-33,2,0
3,3/24/2023,37,Intervention,visualization,5,3,3,11,1,0,0,1,0,0,34,0,1,0,28,3,-32,3,0
3,3/27/2023,40,Intervention,visualization,5,3,5,13,1,0,0,1,0,0,34,0,1,0,31,6,-29,6,0
